employee_id,tenure_months,event_observed,department,level,performance_tier
E001,4,true,Engineering,Junior,Low
E002,8,true,Engineering,Junior,Mid
E003,12,true,Engineering,Mid,Mid
E004,15,true,Engineering,Mid,Low
E005,9,true,Engineering,Senior,Mid
E006,18,true,Engineering,Mid,High
E007,22,true,Engineering,Senior,Mid
E008,30,false,Engineering,Senior,High
E009,36,false,Engineering,Mid,High
E010,48,false,Engineering,Senior,High
E011,8,true,Marketing,Mid,Low
E012,14,true,Marketing,Senior,Mid
E013,22,true,Marketing,Mid,Low
E014,18,false,Marketing,Mid,High
E015,36,false,Marketing,Senior,High
E016,24,false,Marketing,Mid,Mid
E017,4,true,Sales,Junior,Low
E018,11,true,Sales,Mid,Mid
E019,22,true,Sales,Senior,Mid
E020,6,true,Sales,Junior,Low
E021,13,true,Sales,Mid,Low
E022,28,false,Sales,Senior,High
E023,20,false,Sales,Mid,High
E024,24,false,Sales,Junior,Mid
E025,30,true,Ops,Mid,Mid
E026,18,true,Ops,Junior,Low
E027,26,false,Ops,Mid,High
E028,40,false,Ops,Senior,High
E029,52,false,Ops,Senior,High
E030,14,false,Ops,Junior,Mid
